14.02.2022 11:36:28.221 INFO  - Start parsing: https://bank.gov.ua/ua/statistic/nbureport/regindicator-statreport/files-21 ...
14.02.2022 11:36:29.305 DEBUG - tr:1
14.02.2022 11:36:29.306 DEBUG - 	td0:Балансова звітність банків
14.02.2022 11:36:29.306 DEBUG - 	td:1:01X
14.02.2022 11:36:29.306 DEBUG - 	td:2:"Дані про залишки на рахунках"
14.02.2022 11:36:29.307 DEBUG - 	td:3:07.12.2018
14.02.2022 11:36:29.307 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.307 DEBUG - 	td:5:08.08.2018
14.02.2022 11:36:29.307 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.307 DEBUG - 	td:7:
14.02.2022 11:36:29.307 DEBUG - 	td:8:
14.02.2022 11:36:29.308 DEBUG - 	td:9:14.01.2021
14.02.2022 11:36:29.308 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.308 DEBUG - 	td:11:f01x
14.02.2022 11:36:29.308 DEBUG - tr:2
14.02.2022 11:36:29.308 DEBUG - 	td0:02X
14.02.2022 11:36:29.308 DEBUG - 	td:1:02X
14.02.2022 11:36:29.308 DEBUG - 	td:2:"Дані про обороти та залишки на рахунках"
14.02.2022 11:36:29.309 DEBUG - 	td:3:07.12.2018
14.02.2022 11:36:29.309 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.309 DEBUG - 	td:5:15.11.2017
14.02.2022 11:36:29.309 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.309 DEBUG - 	td:7:
14.02.2022 11:36:29.309 DEBUG - 	td:8:
14.02.2022 11:36:29.310 DEBUG - 	td:9:14.01.2021
14.02.2022 11:36:29.310 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.310 DEBUG - 	td:11:z02x
14.02.2022 11:36:29.310 DEBUG - tr:3
14.02.2022 11:36:29.310 DEBUG - 	td0:07X
14.02.2022 11:36:29.310 DEBUG - 	td:1:07X
14.02.2022 11:36:29.311 DEBUG - 	td:2:"Дані про цінні папери в активах банку, інвестиції в асоційовані та дочірні компанії, дебіторську заборгованість, похідні фінансові активи (за класифікаціями контрагентів і рахунків)"
14.02.2022 11:36:29.311 DEBUG - 	td:3:30.09.2020
14.02.2022 11:36:29.311 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.311 DEBUG - 	td:5:06.02.2020
14.02.2022 11:36:29.311 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.312 DEBUG - 	td:7:30.09.2021
14.02.2022 11:36:29.312 DEBUG - 	td:8:Description
14.02.2022 11:36:29.312 DEBUG - 	td:9:30.11.2020
